candidate_label,candidate_rank,candidate_score,false_positive_risk,generated_ntraces,hard_blocker_present,interface_suppression_risk,risk_count,scene_id,synthetic_limit_flag,target_imbalance_risk,warning_flags_raw,would_pass_if_gate_applied,would_pass_if_score_only
"""local""",1,0.998996345388098,false,9,true,false,1,"""GX-003""",true,false,[],false,true
"""medium""",2,0.998996345388098,false,17,true,false,1,"""GX-003""",true,false,[],false,false
"""large""",3,0.998996345388098,false,35,true,false,1,"""GX-003""",true,false,[],false,false
"""near_full_line""",4,0.998996345388098,false,63,true,false,1,"""GX-003""",true,false,[],false,false
"""near_full_line""",5,0.998996345388098,false,89,true,false,1,"""GX-003""",true,false,[],false,false
"""local""",6,0.998990890743468,false,3,true,false,1,"""GX-003""",true,false,[],false,false
"""local""",1,0.9887287275226763,false,9,true,false,1,"""GX-004""",true,false,[],false,true
"""local""",2,0.9874702397035396,false,5,true,false,1,"""GX-004""",true,false,[],false,false
"""medium""",3,0.9871590595479236,false,21,true,false,1,"""GX-004""",true,false,[],false,false
"""near_full_line""",4,0.9805615618595598,false,73,true,false,1,"""GX-004""",true,false,[],false,false
"""large""",5,0.9799848228908324,false,41,true,false,1,"""GX-004""",true,false,[],false,false
"""full_line""",6,0.9679106413188676,false,105,true,false,1,"""GX-004""",true,false,[],false,false
"""local""",1,9.773616120017676,false,9,true,false,2,"""GX-005""",true,true,"[""gx005_target_imbalance_risk""]",false,true
"""local""",2,9.602205913772005,false,5,true,false,2,"""GX-005""",true,true,"[""gx005_target_imbalance_risk""]",false,false
"""full_line""",3,2.620700060862371,false,105,true,false,1,"""GX-005""",true,false,[],false,false
"""near_full_line""",4,1.9763327941235245,false,73,true,false,1,"""GX-005""",true,false,[],false,false
"""medium""",5,1.7984341205607715,false,21,true,false,2,"""GX-005""",true,true,"[""gx005_target_imbalance_risk""]",false,false
"""large""",6,1.3630472565507727,false,41,true,false,2,"""GX-005""",true,true,"[""gx005_target_imbalance_risk""]",false,false
"""local""",1,0.5540302271617978,false,9,true,true,2,"""GX-006""",true,false,"[""gx006_interface_suppression_risk""]",false,true
"""medium""",2,0.3870691505127876,false,21,true,true,2,"""GX-006""",true,false,"[""gx006_interface_suppression_risk""]",false,false
"""local""",3,0.29173696222465645,false,5,true,true,2,"""GX-006""",true,false,"[""gx006_interface_suppression_risk""]",false,false
"""large""",4,0.2731746640307534,false,41,true,true,2,"""GX-006""",true,false,"[""gx006_interface_suppression_risk""]",false,false
"""near_full_line""",5,0.23083959168786336,false,73,true,true,2,"""GX-006""",true,false,"[""gx006_interface_suppression_risk""]",false,false
"""full_line""",6,0.047434516572981936,false,105,true,true,2,"""GX-006""",true,false,"[""gx006_interface_suppression_risk""]",false,false
