method,parameter_set,scenes_present,mean_rank,median_rank,best_rank,worst_rank,selected_count,mean_mae,mean_rmse,mean_psnr,warning_count,notes
mean_background_subtraction,"{""axis"": ""trace"", ""mode"": ""moving_window_mean"", ""window_size"": 5}",2,1,1.0,1,1,2,0.020667804971487968,0.06539546547764284,15.71123023449621,0,selected in both scenes
mean_background_subtraction,"{""axis"": ""trace"", ""mode"": ""global_mean""}",2,2,2.0,2,2,0,0.020667804971488065,0.06539546547764284,15.71123023449621,0,
mean_background_subtraction,"{""axis"": ""trace"", ""mode"": ""moving_window_mean"", ""window_size"": 9}",2,3,3.0,3,3,0,0.020667804971488193,0.06539546547764283,15.71123023449621,0,
mean_background_subtraction,"{""axis"": ""trace"", ""mode"": ""moving_window_mean"", ""window_size"": 15}",2,4,4.0,4,4,0,0.02066780497148876,0.06539546547764283,15.71123023449621,0,
svd_background_suppression,"{""remove_rank"": 1}",2,5.5,5.5,5,6,0,0.02066780497148894,0.06539546547764284,15.71123023449621,0,
svd_background_suppression,"{""remove_rank"": 2}",2,6.5,6.5,6,7,0,0.02066780497148896,0.06539546547764284,15.71123023449621,0,
mean_background_subtraction,"{""axis"": ""trace"", ""mode"": ""moving_window_mean"", ""window_size"": 21}",2,6.5,6.5,5,8,0,0.02066780497148893,0.06539546547764283,15.71123023449621,0,
svd_background_suppression,"{""remove_rank"": 3}",2,7.5,7.5,7,8,0,0.020667804971488988,0.06539546547764284,15.71123023449621,0,
mean_background_subtraction,"{""axis"": ""trace"", ""mode"": ""moving_window_mean"", ""window_size"": 31}",2,9,9.0,9,9,0,0.020667804971489605,0.06539546547764284,15.71123023449621,0,
mean_background_subtraction,"{""axis"": ""trace"", ""mode"": ""moving_window_mean"", ""window_size"": 41}",2,10,10.0,10,10,0,0.020667804971489925,0.06539546547764284,15.71123023449621,0,
median_background_subtraction,"{""axis"": ""trace"", ""mode"": ""global_median""}",2,11,11.0,11,11,0,0.020667804971487916,0.06539546547764284,15.71123023449621,2,
median_background_subtraction,"{""axis"": ""trace"", ""mode"": ""moving_window_median"", ""window_size"": 5}",2,12,12.0,12,12,0,0.020667804971487916,0.06539546547764284,15.71123023449621,2,
median_background_subtraction,"{""axis"": ""trace"", ""mode"": ""moving_window_median"", ""window_size"": 9}",2,13,13.0,13,13,0,0.020667804971487916,0.06539546547764284,15.71123023449621,2,
median_background_subtraction,"{""axis"": ""trace"", ""mode"": ""moving_window_median"", ""window_size"": 15}",2,14,14.0,14,14,0,0.020667804971487916,0.06539546547764284,15.71123023449621,2,
median_background_subtraction,"{""axis"": ""trace"", ""mode"": ""moving_window_median"", ""window_size"": 21}",2,15,15.0,15,15,0,0.020667804971487916,0.06539546547764284,15.71123023449621,2,
median_background_subtraction,"{""axis"": ""trace"", ""mode"": ""moving_window_median"", ""window_size"": 31}",2,16,16.0,16,16,0,0.020667804971487916,0.06539546547764284,15.71123023449621,2,
median_background_subtraction,"{""axis"": ""trace"", ""mode"": ""moving_window_median"", ""window_size"": 41}",2,17,17.0,17,17,0,0.020667804971487916,0.06539546547764284,15.71123023449621,2,
